ID,NOME_CIENTIFICO,NOME_POPULAR
6734,Erisma calcaratum (Link) Warm.,Jabuti-da-terra-firme
6735,Erisma calcaratum (Link) Warm.,Jabuti-da-várzea
6736,Erisma calcaratum (Link) Warm.,Veiga-de-jabuti
6738,Erisma fuscum Ducke,Quaruba
6739,Erisma japura Spruce ex Warm.,Japurá
6740,Erisma lanceolatum Stafleu,Bruto
6741,Erisma lanceolatum Stafleu,Jabuti
6743,Erisma lanceolatum Stafleu,Quaruba
667,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico
669,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-branco
670,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-bravo
671,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-castanho
672,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-cedro
673,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-de-caroço
675,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-de-curtume
676,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-do-banhado
677,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-do-campo
678,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-do-mato
679,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-dos-montes
680,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-fava
682,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-mama-de-porco
683,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-manso
684,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-preto
685,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-preto-rajado
686,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-rajado
688,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-verdadeiro
689,Anadenanthera colubrina (Vell.) Brenan var. cebil,Angico-vermelho
818,Andira inermis (W.Wright.) Kunth ex DC.,Uxi
146,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,Mocajaíba
147,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,Mocajá-mirim
148,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,Mocajá-pequeno
149,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,Mucajuba
151,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,Palmeira
161,Acrodiclidium appellii (Mez) Kosterm.,Aritu
162,Acrodiclidium appellii (Mez) Kosterm.,Louro-aritu
163,Acrodiclidium aureum Huber,Folha-dourada
164,Acrodiclidium brasiliense Nees,Louro
165,Acrodiclidium camara Schomb.,Caamará
167,Acrodiclidium camara Schomb.,Cambará-de-cheiro
168,Acrodiclidium camara Schomb.,Ituba-camará
169,Acrodiclidium canella Mez,Canela-caxeta
170,Acrodiclidium chrysophyllum Meisn.,Sassafrás-da-guiana
172,Acrodiclidium cinnamomoides Mez,Canela-do-mato
173,Acrodiclidium puchury-major (Mart.) Mez,Louro-puxuri
174,Acrodiclidium puchury-major (Mart.) Mez,Pichurim
175,Acrodiclidium puchury-major (Mart.) Mez,Pixurim
177,Acrodiclidium puchury-major (Mart.) Mez,Puxuri-grosso
178,Actinostemon caribaeus Griseb.,Capitão
179,Actinostemon caribaeus Griseb.,Laranjeira-brava
180,Actinostemon caribaeus Griseb.,Laranjeira-do-mato
182,Actinostemon caribaeus Griseb.,Três-cores-vermelhas
184,Actinostemon lanceolatus Saldanha,Caiteté
185,Actinostemon lanceolatus Saldanha,Canela-de-veado
187,Actinostemon microcarpus Müll.Arg.,Laranjeira-brava
188,Actinostemon microcarpus Müll.Arg.,Laranjeira-do-mato
189,Actinostemon microcarpus Müll.Arg.,Três-cores-vermelhas
190,Actinostemon sp.,Amesclão
192,Adansonia digitata L.,Iciboacica
193,Adenanthera pavonina L.,Carolina
194,Adenanthera pavonina L.,Tento-carolina
201,Aegiphila arborescens Vahl,Botim
202,Aegiphila arborescens Vahl,Pimenteira-do-mato
203,Aegiphila klotzschiana Cham.,Capoeirão
204,Aegiphila klotzschiana Cham.,Fruta-de-papagaio
206,Aegiphila klotzschiana Cham.,Pau-de-papagaio
207,Aegiphila klotzschiana Cham.,Tamanqueiro-do-campo
208,Aegiphila klotzschiana Cham.,Tamanqueiro-do-cerrado
210,Aegiphila pernambucensis Moldenke,Salgueiro
211,Aegiphila sellowiana Cham.,Briaúva
213,Aegiphila sellowiana Cham.,Capoeirão
214,Aegiphila sellowiana Cham.,Fruta-de-papagaio
215,Aegiphila sellowiana Cham.,Gaioleira
216,Aegiphila sellowiana Cham.,Minura
218,Aegiphila sellowiana Cham.,Papagaio
219,Aegiphila sellowiana Cham.,Pau-de-gaiola
220,Aegiphila sellowiana Cham.,Pau-de-tamanco
222,Aegiphila sp.,Gaiteiro
223,Aegiphila tomentosa Cham.,Mululo-branco
224,Aegle marmelos Correa,Bilva
228,Aesculus hippocastanum L.,Castanheiro-da-Índia
229,Aesculus pavia L.,Olho-de-cabra
230,Affonsea bullata Benth.,Ingá-falso
232,Agarista eucaluptoides G.Don,Criúva
233,Agarista eucaluptoides G.Don,Urze
234,Agarista multiflora G.Don,Criúva
235,Agarista nummularia G.Don,Urze-de-vaivém
237,Aglaia odorata Lour.,Murta-do-campo
238,Agonandra brasiliensis Miers,Amarelão
239,Agonandra brasiliensis Miers,Amora-do-mato
241,Agonandra brasiliensis Miers,Cereja-de-pobre
242,Agonandra brasiliensis Miers,Cerveja-de-pobre
243,Agonandra brasiliensis Miers,Cervejinha
245,Agonandra brasiliensis Miers,Guararema
246,Agonandra brasiliensis Miers,Imbu-danta
247,Agonandra brasiliensis Miers,Marfim
2516,Brosimum parinarioides Ducke subsp. parinarioides,Amapá-doce
2518,Brosimum parinarioides Ducke subsp. parinarioides,Amapá-roxo
2519,Brosimum parinarioides Ducke subsp. parinarioides,Mururerana
2520,Brosimum potabile Ducke,Amapá-da-terra-firme
2521,Brosimum potabile Ducke,Amapá-da-várzea
2522,Brosimum potabile Ducke,Amapá-doce
2524,Brosimum potabile Ducke,Leiteira
2525,Brosimum rubescens Taub.,Amapá-amargoso
2526,Brosimum rubescens Taub.,Amapá-doce
2528,Brosimum rubescens Taub.,Amargo-de-conduru
2529,Brosimum rubescens Taub.,Canduru
2530,Brosimum rubescens Taub.,Conduru
2532,Brosimum rubescens Taub.,Conduru-vermelho
2533,Brosimum rubescens Taub.,Falso-pau-brasil
2534,Brosimum rubescens Taub.,Gonduru
2536,Brosimum rubescens Taub.,Madeira-vermelha
2537,Brosimum rubescens Taub.,Muirapiranga
2538,Brosimum rubescens Taub.,Pau-rainha
2540,Brosimum rubescens Taub.,Uanta
2541,Brosimum sp.,Amora
2542,Brosimum sp.,Baba-de-boi
2544,Brosimum sp.,Batinga-branca
2545,Brosimum sp,Sorveira
2695,Byrsonima coccolobifolia Kunth,Sumanera
2697,Byrsonima crassa Ndz.,Murici
2698,Byrsonima crassifolia H.B.K.,Marajoara
2699,Byrsonima crassifolia H.B.K.,Murichi
2700,Byrsonima crassifolia H.B.K.,Murici
2701,Byrsonima crassifolia H.B.K.,Murici-do-campo
2702,Byrsonima crassifolia H.B.K.,Murici-pitanga
2703,Byrsonima crispa A.Juss.,Murichi
2704,Byrsonima crispa A.Juss.,Murici
2705,Byrsonima crispa A.Juss.,Murici-da-mata
2706,Byrsonima crispa A.Juss.,Muruci-da-mata
2707,Byrsonima cydoniaefolia A.Juss.,Murici
2708,Byrsonima densa (Peir) DC.,Murici
2709,Byrsonima densa (Peir) DC.,Murici-branco
2710,Byrsonima fagifolia Nied.,Murici
2711,Byrsonima guilleminiana A.Juss.,Murici
2712,Byrsonima lancifolia A.Juss.,Murici
2713,Byrsonima lancifolia A.Juss.,Murici-da-capoeira
2714,Byrsonima lancifolia A.Juss.,Murici-da-serra
2715,Byrsonima lancifolia A.Juss.,Murici-miúdo
2716,Byrsonima lancifolia A.Juss.,Murici-rosa
2717,Byrsonima laxiflora Griseb.,Murici-da-mata
2718,Byrsonima ligustrifolia A.Juss.,Baga-de-pomba
2719,Byrsonima ligustrifolia A.Juss.,Baga-de-tucano
2720,Byrsonima ligustrifolia A.Juss.,Murici
2721,Byrsonima ligustrifolia A.Juss.,Pessegueiro-do-mato
2722,Byrsonima persaefolia Griseb.,Massarico
2723,Byrsonima salzmanniana A.Juss.,Murici-da-chapada
2725,Byrsonima sericea DC.,Barbatimão
2726,Byrsonima sericea DC.,Burici
2727,Byrsonima sericea DC.,Fruta-de-perdiz
2728,Byrsonima sericea DC.,Guguitião
2730,Byrsonima sericea DC.,Mantimento-de-pobre
2731,Byrsonima sericea DC.,Murichi
2732,Byrsonima sericea DC.,Murici
2734,Byrsonima sericea DC.,Murici-branco
2735,Byrsonima sericea DC.,Murici-da-capoeira
2736,Byrsonima sericea DC.,Murici-da-praia
2738,Byrsonima sericea DC.,Murici-de-fruta-miúda
2739,Byrsonima sericea DC.,Murici-do-brejo
2740,Byrsonima sericea DC.,Murici-miúdo
2742,Byrsonima sericea DC.,Muriti
2743,Byrsonima sericea DC.,Muriúba
2744,Byrsonima sericea DC.,Muruci-de-fruta-miúda
2746,Byrsonima sericea DC.,Pau-de-semana
2747,Byrsonima sessilifolia Benth.,Mureci-branco
2748,Byrsonima sessilifolia Benth.,Murici-branco
2750,Byrsonima sp.,Goitizinho
2751,Byrsonima sp.,Mucuri
2753,Byrsonima sp.,Murici-peludo
2754,Byrsonima sp.,Oitizinho
2756,Byrsonima spicata (Cav.) DC.,Cerejeira-dorada
2757,Byrsonima spicata (Cav.) DC.,Mureci
2758,Byrsonima spicata (Cav.) DC.,Murici
2760,Byrsonima spicata (Cav.) DC.,Murici-da-mata
2761,Byrsonima spicata (Cav.) DC.,Murici-miúdo
2762,Byrsonima spicata (Cav.) DC.,Murici-vermelho
2763,Byrsonima spicata (Cav.) DC.,Pau-de-curtir
2765,Byrsonima spicata (Cav.) DC.,Pessegueiro-bravo
2766,Byrsonima stipulacea A.Juss.,Murici
2767,Byrsonima stipulacea A.Juss.,Murici-da-mata
2768,Byrsonima stipulacea A.Juss.,Murici-do-litoral
2771,Byrsonima verbascifolia (L.) Rich.,Murici
2772,Byrsonima verbascifolia (L.) Rich.,Muriciaçu
2773,Byrsonima verbascifolia (L.) Rich.,Murici-branco
2774,Byrsonima verbascifolia (L.) Rich.,Murici-casendo
2776,Byrsonima verbascifolia (L.) Rich.,Murici-de-taboleiro
2777,Byrsonima verbascifolia (L.) Rich.,Murici-grande
2778,Byrsonima verbascifolia (L.) Rich.,Muriciguaçu
2779,Byrsonima verbascifolia (L.) Rich.,Murici-pequeno
2781,Byrsonima verbascifolia (L.) Rich.,Orelha-de-burro
2782,Byrsonima verbascifolia (L.) Rich.,Orelha-de-veado
2785,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Cacharana
2786,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Caiarana
2787,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Caierana
2789,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Cajá-espúrio
2790,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Cajarana
2791,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Cajarana-do-litoral
2792,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Cajerana
2793,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Cajerana-amarela
2795,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Cambarana
2796,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Cancherana
2797,Cabralea canjerana (Vell.) Mart. subsp. canjerana,Canharana
4624,Citrus limonum-edulis Risso.,Limoeiro
4625,Citrus limonum-edulis Risso.,Limoeiro-doce
4626,Citrus maxima Merr.,Bombalina
4627,Citrus maxima Merr.,Grêpe
4629,Citrus maxima Merr.,Pamplemussa
4630,Citrus maxima Merr.,Pomelo
4631,Citrus maxima Merr.,Pomo-de-adão
4633,Citrus maxima Merr.,Turanja
4634,Citrus medica var. acida L.,Limão-galego
4636,Citrus medica var. cedra L.,Cidreira
4637,Citrus medica var. limon L.,Limão
4638,Citrus medica var. limon L.,Limoeiro-galêgo
4640,Citrus melitense Risso.,Tangerina-boceta
4641,Citrus melitense Risso.,Tangerina-sanguínea
4642,Citrus nobilis Lour.,Bergamota
4644,Citrus nobilis Lour.,Laranjeira-cravo
4645,Citrus nobilis Lour.,Mandarina
4646,Citrus nobilis Lour.,Mexerica
4648,Citrus nobilis Lour.,Tangerina-do-rio
4649,Citrus nobilis Lour.,Tangerineira
4650,Citrus paradisi macfad.,
4652,Citrus pomum-adami Mart.,Turanja
4653,Citrus pomum-adami Mart.,Zamboeiro
4654,Citrus trifoliata L.,Limão-de-jardim
4656,Citrus trifoliata L.,Limoeiro-trifoliado
4657,Citrus trifoliatus Rafin.,
4658,Clarisia racemifera Huber,Janitá
4660,Clarisia racemosa Ruiz & Pav.,Bordãozinho
4661,Clarisia racemosa Ruiz & Pav.,Catruz
4662,Clarisia racemosa Ruiz & Pav.,Gameleiro
4663,Clarisia racemosa Ruiz & Pav.,Guariúba
4665,Clarisia racemosa Ruiz & Pav.,Guariúba-catruz
4666,Clarisia racemosa Ruiz & Pav.,Janitá
4667,Clarisia racemosa Ruiz & Pav.,Oiti
4668,Clarisia racemosa Ruiz & Pav.,Oiti-amarelo
4669,Clarisia racemosa Ruiz & Pav.,Oiticica
4670,Clarisia racemosa Ruiz & Pav.,Oiticica-amarela
4671,Clarisia racemosa Ruiz & Pav.,Oiticica-cica
4672,Clarisia racemosa Ruiz & Pav.,Oiticica-da-mata
4673,Clarisia racemosa Ruiz & Pav.,Oiticica-vermelha
4674,Clarisia racemosa Ruiz & Pav.,Quariúba
4675,Clarisia racemosa Ruiz & Pav.,Tatajuba-amarela
4676,Clarisia racemosa Ruiz & Pav.,Ticica
4677,Clarisia strepitans Engl.,Árvore-de-chocalho
4678,Clarisia strepitans Engl.,Bainha-de-espada
4679,Clarisia strepitans Lanj.,Janitá
4680,Clathrotropis macrocarpa Ducke,Cabari
4681,Clathrotropis macrocarpa Ducke,Timbó-pau
4682,Clathrotropis macrocarpa Ducke,Timborana
4683,Clathrotropis nitida (Benth.) Harms,Acapu
4684,Clathrotropis nitida (Benth.) Harms,Acapu-do-igapó
4685,Clausena anisata Hook.,Aniz
4686,Clausena wampi Oliv.,Vampi-da-índia
4687,Clausena wampi Oliv.,Verniz-do-japão
4688,Clavija lancifolia Desf.,Marapuama
4689,Clethra brasiliensis Cham.,
4690,Clethra laevigata Meisn.,
4691,Clethra scabra Pers.,Cajuja
4692,Clethra scabra Pers.,Cangalheira-falsa
4693,Clethra scabra Pers.,Carne-de-vaca
4694,Clethra scabra Pers.,Caujuja
4695,Clethra scabra Pers.,Caúna
4696,Clethra scabra Pers.,Guaperê
4697,Clethra scabra Pers.,Guaraperê
4698,Clethra scabra Pers.,Pau-de-cinzas
4699,Clethra scabra Pers.,Peroba-brava
4700,Clethra scabra Pers.,Peroba-café
4701,Clethra scabra Pers.,Vassourão
4702,Clethra scabra var. venosa (Meisn.) Sleumer,Carne-de-vaca
4703,Clethra scabra var. venosa (Meisn.) Sleumer,Caujuja
4704,Clethra scabra var. venosa (Meisn.) Sleumer,Guaperê
4705,Clethra scabra var. venosa (Meisn.) Sleumer,Pau-de-cinzas
4707,Clethra scabra var. venosa (Meisn.) Sleumer,Peroba-café
4708,Clethra scabra var. venosa (Meisn.) Sleumer,Vassourão
4709,Clethra uleana Sleumer,Carne-de-vaca
4710,Clethra uleana Sleumer,Caujuja
4711,Clethra uleana Sleumer,Guaperê
4713,Clidemia hirta D.Don,Pixica
4714,Clidemia hirta D.Don,Pixirica
4715,Clidemia hirta D.Don,Pixixica
4717,Clinostemon mahuba Kuhlm. & Samp.,
4719,Clitoria fairchildiana R.A.Howard,Faveira
4720,Clitoria fairchildiana R.A.Howard,Palheteira
4721,Clitoria fairchildiana R.A.Howard,Paliteira
4723,Clitoria fairchildiana R.A.Howard,Sombra-de-vaca
4724,Clitoria fairchildiana R.A.Howard,Sombreiro
4725,Clitoria racemosa G.Don,
4726,Clusia alba Choisy,
4728,Clusia criuva Cambess.,Criúba
4729,Clusia criuva Cambess.,Criúva
4730,Clusia criuva Cambess.,Estalo
4732,Clusia criuva Cambess.,Mangue-de-formiga
4733,Clusia criuva Cambess.,Mangue-do-mato
4735,Clusia fluminensis Planch. & Triana,Manga-da-praia
4736,Clusia ildefonsiana L.C.Rich.,Pirá
4738,Clusia microcarpa Spreng.,Quapóia
4739,Clusia nemorosa G.F.W.Meyer,Camaçari
4740,Clusia nemorosa G.F.W.Meyer,Orelha-de-burro
4741,Clusia palmicida Rich. ex Planch.,Mata-pau
4743,Clusia pernambucensis G.Mariz,(sem nome comum)
4744,Clusia quapoya Choisy,
4746,Clusia rosea Jacq.,Cupaí
4747,Clusia rosea Jacq.,Mata-pau
4749,Clusia sp.,Criúva
4750,Clusia sp.,Guanandi-da-areia
4752,Cnidoscolus phyllacanthus (Müll.Arg.) Pax. & Hoffm.,Favela
4753,Cnidoscolus phyllacanthus (Müll.Arg.) Pax. & Hoffm.,Faveleira
4755,Cnidoscolus pubescens (Pax.) Pax. & K.Hoffm.,Cansanção
4756,Cnidoscolus pubescens (Pax.) Pax. & K.Hoffm.,Cansanção-de-leite
4757,Cnidoscolus pubescens (Pax.) Pax. & K.Hoffm.,Pinha-queimada
4758,Cnidoscolus pubescens (Pax.) Pax. & K.Hoffm.,Urtiga
4760,Coccoloba brasiliensis Mart. & Nees,Cajueiro-bravo
4761,Coccoloba floribunda (Benth.) Lindau,Pau-ponte
4762,Coccoloba floribunda (Benth.) Lindau,Tipuiu
4763,Coccoloba latifolia Lam.,Cabaçu
4764,Coccoloba latifolia Lam.,Crauaçu
4766,Coccoloba longipes S.Moore,Cabaçu
4767,Coccoloba mollis Casar.,Falso-novateiro
6744,Erisma lanceolatum Stafleu,Quaruba-de-flores-roxas
6745,Erisma lanceolatum Stafleu,Quarubarana
6746,Erisma lanceolatum Stafleu,Quaruba-vermelha
6748,Erisma laurifolium Warm.,Jabuti-vermelho
6749,Erisma laurifolium Warm.,Japurárana
6750,Erisma megalophyllum Stafleu,Japurá
6751,Erisma sp.,Carneiro
6753,Erisma uncinatum Warm.,Cachimbo-de-jabuti
6754,Erisma uncinatum Warm.,Cambará
6755,Erisma uncinatum Warm.,Cambará-rosa
6757,Erisma uncinatum Warm.,Cedrinho
6758,Erisma uncinatum Warm.,Coariúba
6759,Erisma uncinatum Warm.,Jabuti
6761,Erisma uncinatum Warm.,Libra
6762,Erisma uncinatum Warm.,Mandioqueira-cachimbo-de-jabuti
6763,Erisma uncinatum Warm.,Pé-de-jabuti
6764,Erisma uncinatum Warm.,Quariba
6766,Erisma uncinatum Warm.,Quaruba-de-flor-roxa
6767,Erisma uncinatum Warm.,Quarubarana
6769,Erisma uncinatum Warm.,Quaruba-vermelha
6770,Erisma uncinatum Warm.,Verga
6771,Erisma uncinatum Warm.,Verga-de-jabuti
6773,Erythrina amasisa Spruce,Amasisa
6774,Erythrina corallodendron L.,Flor-de-coral
6775,Erythrina corallodendron L.,Molongó-branco
6776,Erythrina corallodendron L.,Mulungu
6778,Erythrina corallodendron L.,Sananduí
6779,Erythrina corallodendron L.,Sananduva
6780,Erythrina corallodendron L.,Suiná
6782,Erythrina crista-galli L.,Apê
6783,Erythrina crista-galli L.,Arapuringa
6784,Erythrina crista-galli L.,Araticum-do-brejo
6786,Erythrina crista-galli L.,Araticum-do-mato
6787,Erythrina crista-galli L.,Bico-de-papagaio
6788,Erythrina crista-galli L.,Corticeira
6790,Erythrina crista-galli L.,Crista-de-galo
6791,Erythrina crista-galli L.,Flor-de-coral
6792,Erythrina crista-galli L.,Guapô
6793,Erythrina crista-galli L.,Marrequeira
6795,Erythrina crista-galli L.,Mulungu
6796,Erythrina crista-galli L.,Samauveira
6797,Erythrina crista-galli L.,Samauveiro
6798,Erythrina crista-galli L.,Sananduva
6800,Erythrina crista-galli L.,Suiná
6801,Erythrina crista-galli L.,Suinã
6803,Erythrina dominguezii Hassl.,Eritrina
6804,Erythrina dominguezii Hassl.,Mulungu
6805,Erythrina falcata Benth.,Bico-de-arara
6807,Erythrina falcata Benth.,Bico-de-pato
6808,Erythrina falcata Benth.,Bituqueira
6809,Erythrina falcata Benth.,Bituqueiro
6810,Erythrina falcata Benth.,Butuqueiro
6812,Erythrina falcata Benth.,Canivete
6813,Erythrina falcata Benth.,Ceibo
6814,Erythrina falcata Benth.,Corticeira
6816,Erythrina falcata Benth.,Corticeira-da-serra
6817,Erythrina falcata Benth.,Corticeira-de-mato
6818,Erythrina falcata Benth.,Corticeira-do-mato
6819,Erythrina falcata Benth.,Feijão-bravo
6820,Erythrina falcata Benth.,Machoco
6821,Erythrina falcata Benth.,Marrequeira
6822,Erythrina falcata Benth.,Mituqueiro
6823,Erythrina falcata Benth.,Mochoco
6824,Erythrina falcata Benth.,Mochoqueiro
6825,Erythrina falcata Benth.,Muchoco
6826,Erythrina falcata Benth.,Mulungu
6827,Erythrina falcata Benth.,Mulungu-coral
6828,Erythrina falcata Benth.,Mutuqueira
6829,Erythrina falcata Benth.,Mutuqueiro
6830,Erythrina falcata Benth.,Pau-cebola
6831,Erythrina falcata Benth.,Sanandu
6832,Erythrina falcata Benth.,Sananduba
6833,Erythrina falcata Benth.,Sananduí
6834,Erythrina falcata Benth.,Sananduva
6835,Erythrina falcata Benth.,Sapatinho-de-judeu
6836,Erythrina falcata Benth.,Sinandu
6837,Erythrina falcata Benth.,Sinhanduva
6838,Erythrina falcata Benth.,Suinã
6839,Erythrina falcata Benth.,Suinã-da-mata
6840,Erythrina falcata Benth.,Suinã-da-serra
6841,Erythrina falcata Benth.,Suinã-do-brejo
6842,Erythrina falcata Benth.,Suinã-mulambo
